prefecture,x,y
Hokkaido,115,200
Aomori,85,95
Akita,80,63
Iwate,112,58
Miyagi,112,5
Yamagata,60,18
Fukushima,87,-28
Ibaraki,112,-65
Tochigi,77,-55
Gunma,52,-67
Saitama,76,-79
Chiba,110,-110
Tokyo,85,-93
Kanagawa,58,-117
Niigata,40,-30
Toyama,0,-65
Ishikawa,-34,-78
Fukui,-29,-100
Yamanashi,38,-103
Nagano,30,-85
Gifu,9,-97
Shizuoka,48,-138
Aichi,10,-134
Mie,-3,-149
Shiga,-22,-130
Kyoto,-47,-118
Osaka,-50,-158
Hyogo,-65,-135
Nara,-23,-170
Wakayama,-31,-194
Tottori,-96,-118
Shimane,-141,-137
Okayama,-99,-147
Hiroshima,-137,-158
Yamaguchi,-177,-178
Tokushima,-85,-183
Kagawa,-88,-168
Ehime,-128,-195
Kochi,-105,-207
Fukuoka,-198,-199
Saga,-215,-212
Nagasaki,-242,-229
Kumamoto,-210,-243
Oita,-158,-213
Miyazaki,-153,-258
Kagoshima,-221,-271
Okinawa,160,-265
